源编码,源名称,目标编码,目标名称,相似度得分,关系类型,LLM防坑口诀
5-05-99,其他农、林、牧、渔业生产辅助人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9827,POTENTIALLY_CONFUSED,名称极似，仅差一个‘及’字，范围涵盖重叠。[其他农、林、牧、渔业生产辅助人员]主要是从事农业生产技术推广、 农机操作、 农村能源利用等生产辅助工作的人员。
6-20-99,其他通用设备制造人员,6-21-99,其他专用设备制造人员,0.9553,POTENTIALLY_CONFUSED,通用设备对大众，专用设备对特定行业
2-09-06-09,陈列展览设计人员,2-10-08-05,文物展陈专业人员,0.9499,POTENTIALLY_CONFUSED,[陈列展览设计人员]重设计安装，[文物展陈专业人员]重研究策划管理。[文物展陈专业人员]的对象是文物藏品（古代遗物）
2-02-30-11,供应链工程技术人员 S,4-02-06-05,供应链管理师S,0.9494,POTENTIALLY_CONFUSED,[供应链工程技术人员 S]建系统平台，[供应链管理师S]管运作流程。
2-02-02-07,地理信息系统工程技术人员 L/S,4-08-04-02,地理信息处理员L,0.9472,POTENTIALLY_CONFUSED,[地理信息系统工程技术人员 L/S]侧重设计开发，[地理信息处理员L]侧重数据录入维护。
2-10-08-01,考古专业人员,4-13-03-01,考古探掘工,0.9458,POTENTIALLY_CONFUSED,专业人员主导研究，探掘工执行具体挖掘
6-23-01-01,铁路机车制修工,6-30-02-06,铁路试验检测设备维修工,0.9457,POTENTIALLY_CONFUSED,[铁路机车制修工]修机车本身，[铁路试验检测设备维修工]修检测机车的设备
2-05-07-14,心理治疗技师,2-07-11-03,心理咨询师,0.9439,POTENTIALLY_CONFUSED,治疗侧重消除痛苦，咨询侧重分析疏解。[心理治疗技师]在医疗和预防保健机构，[心理咨询师]在社区、社区服务机构和社会组织
2-02-07-03,仪器仪表工程技术人员,6-31-01-04,仪器仪表维修工,0.9439,POTENTIALLY_CONFUSED,工程技术人员重研发设计，维修工重维护修理
2-02-15-04,水上救助打捞工程技术人员,4-02-03-04,水上救生员,0.9438,POTENTIALLY_CONFUSED,[水上救助打捞工程技术人员]侧重工程打捞，[水上救生员]侧重人命救助
3-01-99,其他行政办事及辅助人员,3-99-00,其他办事人员和有关人员,0.9427,POTENTIALLY_CONFUSED,均属兜底项，范围重叠且定义模糊
2-02-38-07,虚拟现实工程技术人员 S,4-04-05-11,虚拟现实产品设计师 S,0.9421,POTENTIALLY_CONFUSED,工程技术人员重开发维护，设计师重内容建模
2-06-12-09,版权运营专业人员,4-13-01-09,版权经纪人,0.9414,POTENTIALLY_CONFUSED,运营侧重资产管理，经纪侧重交易代理。
6-21-05-01,拖拉机制造工,6-22-01-01,汽车生产线操作工,0.9413,POTENTIALLY_CONFUSED,看产品：拖拉机对汽车，工艺流程几乎一致
2-03-06-01,兽医,5-05-02-03,动物疫病防治员,0.9407,POTENTIALLY_CONFUSED,兽医主导诊疗检疫，防治员主攻执行免疫
6-09-03-03,陶瓷工艺品制作师,6-15-05-04,陶瓷装饰工,0.9398,POTENTIALLY_CONFUSED,制作师含成型，装饰工仅限表面装饰
5-01-99,其他农业生产人员,5-03-99,其他畜牧业生产人员,0.9397,POTENTIALLY_CONFUSED,农业指种植，畜牧业指养殖。
6-24-01-00,电机制造工,6-31-01-07,电机检修工,0.9384,POTENTIALLY_CONFUSED,制造是做新机，检修是修旧机。
6-21-04,电子专用设备装配调试人员,6-25-04,电子设备装配调试人员,0.9369,POTENTIALLY_CONFUSED,专用设备指设备本身，电子设备指产品
6-21-99,其他专用设备制造人员,6-26-99,其他仪器仪表制造人员,0.9361,POTENTIALLY_CONFUSED,设备重制造，仪表重精密测量。
2-10-08-01,考古专业人员,4-13-03,考古及文物保护作业人员,0.935,POTENTIALLY_CONFUSED,专业人员主导研究，作业人员执行操作。
2-02-99,其他工程技术人员,2-99-00,其他专业技术人员,0.9331,POTENTIALLY_CONFUSED,工程技术人员侧重工程，专业技术人员范围更广
2-05-99,其他卫生专业技术人员,2-99-00,其他专业技术人员,0.9329,POTENTIALLY_CONFUSED,[其他卫生专业技术人员]是卫生领域，[其他专业技术人员]是全行业通用。
6-21-01-02,工程机械装配调试工,6-31-01-09,工程机械维修工,0.9316,POTENTIALLY_CONFUSED,装配是新机出厂，维修是旧机修复。
2-02-20-11,园林植物保护工程技术人员 L,2-03-03-00,植物保护技术人员 L,0.9311,POTENTIALLY_CONFUSED,[园林植物保护工程技术人员 L]专攻园林景观，[植物保护技术人员 L]涵盖农业及全类植物。
4-01-05-03,出版物发行员,4-02-07-05,报刊业务员,0.9308,POTENTIALLY_CONFUSED,[出版物发行员]侧重全渠道发行，[报刊业务员]侧重报刊零售分发。
2-02-02-04,地图制图工程技术人员S,4-08-03-03,地图绘制员,0.9301,POTENTIALLY_CONFUSED,工程技术人员重设计研发，绘制员重操作执行
5-01-99,其他农业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9295,POTENTIALLY_CONFUSED,[其他农业生产人员]仅限农业，[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业。
4-02-02-01,客运车辆驾驶员L,4-10-08-02,汽车代驾员,0.9294,POTENTIALLY_CONFUSED,客运运营运车，代驾开私家车。[汽车代驾员]为客户临时驾驶非营运机动车
6-15-08-01,人工合成晶体工,6-25-02-04,晶片加工工,0.9293,POTENTIALLY_CONFUSED,[人工合成晶体工]合成晶体器件，[晶片加工工]生长晶锭切晶片
2-03-06-01,兽医,5-05-02-04,动物检疫检验员,0.9292,POTENTIALLY_CONFUSED,兽医治病，检疫员查病出证。
6-23-03,航空产品装配、调试人员,6-31-02-03,航空器部件修理工,0.9292,POTENTIALLY_CONFUSED,装配侧重于新产品组装，修理侧重于维护修复。
6-25-04-02,通信终端设备制造工,6-26-01-01,仪器仪表制造工,0.9284,POTENTIALLY_CONFUSED,[通信终端设备制造工]造通信终端，[仪器仪表制造工]造通用仪器仪表
7-01-00-00,军官(警官),7-02-00-00,军士(警士),0.9281,POTENTIALLY_CONFUSED,官是管理层，士是执行层。
7-01-00,军官(警官),7-02-00-00,军士(警士),0.9281,POTENTIALLY_CONFUSED,官是管理层，士是执行层。
