源编码,源名称,目标编码,目标名称,相似度得分,关系类型,LLM防坑口诀
5-05-99,其他农、林、牧、渔业生产辅助人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9827,POTENTIALLY_CONFUSED,[其他农、林、牧、渔业生产辅助人员]仅限农林牧渔辅助环节兜底；[其他农、林、牧、渔业生产及辅助人员]覆盖生产及辅助全领域兜底
6-20-99,其他通用设备制造人员,6-21-99,其他专用设备制造人员,0.9553,POTENTIALLY_CONFUSED,[其他通用设备制造人员]锅炉泵阀等通用机械制造兜底；[其他专用设备制造人员]矿山冶金等专用机械制造兜底
2-09-06-09,陈列展览设计人员,2-10-08-05,文物展陈专业人员,0.9499,POTENTIALLY_CONFUSED,[陈列展览设计人员]重设计安装，；[文物展陈专业人员]的对象是文物藏品（古代遗物）
2-02-30-11,供应链工程技术人员S,4-02-06-05,供应链管理师S,0.9494,POTENTIALLY_CONFUSED,[供应链工程技术人员S]建系统平台，；[供应链管理师S]管运作流程。
2-02-02-07,地理信息系统工程技术人员L/S,4-08-04-02,地理信息处理员L,0.9472,POTENTIALLY_CONFUSED,[地理信息系统工程技术人员L/S]侧重设计开发，；[地理信息处理员L]侧重数据录入维护。
2-10-08-01,考古专业人员,4-13-03-01,考古探掘工,0.9458,POTENTIALLY_CONFUSED,[考古专业人员]专业人员主导研究；[考古探掘工]探掘工执行具体挖掘
6-23-01-01,铁路机车制修工,6-30-02-06,铁路试验检测设备维修工,0.9457,POTENTIALLY_CONFUSED,[铁路机车制修工]修机车本身，；[铁路试验检测设备维修工]修检测机车的设备
2-05-07-14,心理治疗技师,2-07-11-03,心理咨询师,0.9439,POTENTIALLY_CONFUSED,[心理治疗技师]在医疗和预防保健机构，；[心理咨询师]在社区、社区服务机构和社会组
2-02-07-03,仪器仪表工程技术人员,6-31-01-04,仪器仪表维修工,0.9439,POTENTIALLY_CONFUSED,[仪器仪表工程技术人员]工程技术人员重研发设计；[仪器仪表维修工]维修工重维护修理
2-02-15-04,水上救助打捞工程技术人员,4-02-03-04,水上救生员,0.9438,POTENTIALLY_CONFUSED,[水上救助打捞工程技术人员]侧重工程打捞，；[水上救生员]侧重人命救助
3-01-99,其他行政办事及辅助人员,3-99-00,其他办事人员和有关人员,0.9427,POTENTIALLY_CONFUSED,[其他行政办事及辅助人员]均属兜底项；[其他办事人员和有关人员]范围重叠且定义模糊
2-02-38-07,虚拟现实工程技术人员S,4-04-05-11,虚拟现实产品设计师S,0.9421,POTENTIALLY_CONFUSED,[虚拟现实工程技术人员S]工程技术人员重开发维护；[虚拟现实产品设计师S]设计师重内容建模
2-06-12-09,版权运营专业人员,4-13-01-09,版权经纪人,0.9414,POTENTIALLY_CONFUSED,[版权运营专业人员]运营侧重资产管理；[版权经纪人]经纪侧重交易代理
6-21-05-01,拖拉机制造工,6-22-01-01,汽车生产线操作工,0.9413,POTENTIALLY_CONFUSED,[拖拉机制造工]看产品：拖拉机对汽车；[汽车生产线操作工]工艺流程几乎一致
2-03-06-01,兽医,5-05-02-03,动物疫病防治员,0.9407,POTENTIALLY_CONFUSED,[兽医]兽医主导诊疗检疫；[动物疫病防治员]防治员主攻执行免疫
