源编码,目标实体,关系类型
1-01-00,中国共产党中央和地方各级机关及其工作机构,OPERATES_IN_ENV
1-01-00-01,中国共产党中央和地方各级机关及其工作机构,OPERATES_IN_ENV
1-01-00-02,企业,OPERATES_IN_ENV
1-01-00-02,农村,OPERATES_IN_ENV
1-01-00-02,机关,OPERATES_IN_ENV
1-01-00-02,学校,OPERATES_IN_ENV
1-01-00-02,科研院所,OPERATES_IN_ENV
1-01-00-02,街道社区,OPERATES_IN_ENV
1-01-00-02,社会组织,OPERATES_IN_ENV
1-02-01,决策,INVOLVES_ACTION
1-02-01,管理,INVOLVES_ACTION
1-02-01,人民代表大会常务委员会,TARGETS_OBJECT
1-02-01,工作机构,TARGETS_OBJECT
1-02-01,国家权力机关,OPERATES_IN_ENV
1-02-01-00,会议,TARGETS_OBJECT
1-02-01-00,人民代表大会常务委员会,OPERATES_IN_ENV
1-02-01-00,工作机构,OPERATES_IN_ENV
1-02-02,决策,INVOLVES_ACTION
1-02-02,管理,INVOLVES_ACTION
1-02-02,国家行政机关,TARGETS_OBJECT
1-02-02,工作机构,TARGETS_OBJECT
1-02-02,国家行政机关,OPERATES_IN_ENV
1-02-02,工作机构,OPERATES_IN_ENV
1-02-02-00,领导,INVOLVES_ACTION
1-02-02-00,签署,INVOLVES_ACTION
1-02-02-00,部门工作,TARGETS_OBJECT
1-02-02-00,重要文件,TARGETS_OBJECT
1-02-02-00,国家行政机关,OPERATES_IN_ENV
1-02-03,决策,INVOLVES_ACTION
1-02-03,管理,INVOLVES_ACTION
1-02-03,人民政府及其工作机构,TARGETS_OBJECT
1-02-03,人民政府机关,OPERATES_IN_ENV
1-02-03-00,主持,INVOLVES_ACTION
1-02-03-00,政协及常务委员会工作,TARGETS_OBJECT
1-02-03-00,政协机关工作,TARGETS_OBJECT
1-02-03-00,人民政府机关,OPERATES_IN_ENV
1-02-04,决策,INVOLVES_ACTION
1-02-04,管理,INVOLVES_ACTION
1-02-04,监察机关,TARGETS_OBJECT
1-02-04,各级监察机关,OPERATES_IN_ENV
1-02-04-00,决策,INVOLVES_ACTION
1-02-04-00,管理,INVOLVES_ACTION
1-02-04-00,监察机关,TARGETS_OBJECT
1-02-04-00,监察机关,OPERATES_IN_ENV
1-02-05,决策,INVOLVES_ACTION
1-02-05,管理,INVOLVES_ACTION
1-02-05,人民法院,TARGETS_OBJECT
1-02-05,人民检察院,TARGETS_OBJECT
1-02-05,最高人民法院,OPERATES_IN_ENV
1-02-05,最高人民检察院,OPERATES_IN_ENV
1-02-05,地方各级人民法院,OPERATES_IN_ENV
1-02-05-01,领导,INVOLVES_ACTION
1-02-05-01,审批,INVOLVES_ACTION
1-02-05-01,主持,INVOLVES_ACTION
1-02-05-01,审判工作,TARGETS_OBJECT
1-02-05-01,法律职务,TARGETS_OBJECT
1-02-05-01,法官,TARGETS_OBJECT
1-02-05-01,人民法院,OPERATES_IN_ENV
1-02-05-02,领导,INVOLVES_ACTION
1-02-05-02,管理,INVOLVES_ACTION
1-02-05-02,决定,INVOLVES_ACTION
1-02-05-02,检察权,TARGETS_OBJECT
1-02-05-02,检察官,TARGETS_OBJECT
1-02-05-02,人民检察院,OPERATES_IN_ENV
1-03-00,决策,INVOLVES_ACTION
1-03-00,管理,INVOLVES_ACTION
1-03-00,组织机构,TARGETS_OBJECT
1-03-00,民主党派和工商联各级组织机构,OPERATES_IN_ENV
1-03-00-01,组织制定,INVOLVES_ACTION
1-03-00-01,贯彻执行,INVOLVES_ACTION
1-03-00-01,领导,INVOLVES_ACTION
1-03-00-01,工作指导方针,TARGETS_OBJECT
1-03-00-01,参政议政和民主监督职能,TARGETS_OBJECT
1-03-00-01,领导班子建设,TARGETS_OBJECT
1-03-00-01,民主党派各级组织机构,OPERATES_IN_ENV
1-03-00-02,引导,INVOLVES_ACTION
1-03-00-02,管理,INVOLVES_ACTION
1-03-00-02,承办,INVOLVES_ACTION
1-03-00-02,政治协商,TARGETS_OBJECT
1-03-00-02,会员,TARGETS_OBJECT
1-03-00-02,办公事业,TARGETS_OBJECT
1-03-00-02,委托事项,TARGETS_OBJECT
1-03-00-02,中华全国工商业联合会,OPERATES_IN_ENV
1-04-01,决策,INVOLVES_ACTION
1-04-01,管理,INVOLVES_ACTION
1-04-01,人民团体,TARGETS_OBJECT
1-04-01,群众团体,TARGETS_OBJECT
