层级,职业编码,职业名称,职业描述,主要工作任务,parent_code,l2_prefix,category,core_actions,objects,deliverables,main_kpi,environment,served_population,role_level
四级,1-01-00-01,中国共产党机关负责人,在中国共产党中央和地方各级机关及其工作机构中，担任领导职务的人员。,,1-01-00,1-01,1类-管理决策,"[""制定党建工作计划"", ""部署机关工作任务"", ""决定人事任免"", ""配置机关行政资源""]","[""党政机关"", ""党建工作计划"", ""机关公职人员"", ""党内规章制度""]","[""党建年度工作报告"", ""机关决策文件"", ""人事任免决定""]","""政治任务落实率""","[""党政机关办公区"", ""党委会会议室""]","[""上级党组织"", ""下级党组织"", ""广大党员""]",全面经营负责
四级,1-01-00-02,中国共产党基层组织负责人,在企业、农村、机关、学校、科研院所、街道社区、社会组织等基层单位中国共产党组织中，担任领导职务的人员。,,1-01-00,1-01,1类-管理决策,"[""组织党内活动"", ""传达上级党建精神"", ""领导基层党组织建设"", ""管理基层党员""]","[""基层党组织"", ""基层党员"", ""党建工作计划""]","[""基层党组织年度工作报告"", ""党建工作计划"", ""党组织会议纪要""]","""党建工作落实率""","[""基层单位党建办公室"", ""社区党群服务中心"", ""基层党组织会议室""]","[""基层党员"", ""上级党组织"", ""基层单位群众""]",全面经营负责
四级,1-02-01-00,国家权力机关负责人,在各级人民代表大会常务委员会及其工作机构中，担任领导职务并具有决策、管理职权的人员。,"1.常务委员会负责人主要处理常务委员会的重要日常工作
2.工作机构负责人主要为常务委员会会议和人民代表大会会议服务。",1-02-01,1-02,1类-管理决策,"[""决策常委会日常事务"", ""组织筹备人大会议"", ""管理权力机关工作机构""]","[""人大常委会日常事务"", ""人民代表大会会议"", ""人大常委会工作机构""]","[""人大常委会年度工作报告"", ""人大会议议程方案""]","""决策落实率""","[""人大常委会办公区"", ""人大常委会会议中心""]","[""人大代表"", ""社会公众""]",全面经营负责
四级,1-02-02-00,国家行政机关负责人,在各级国家行政机关及其工作机构中，担任领导职务并具有决策、管理权的人员。,"1.领导所属各部门的工作，召集和主持本级行政机关会议
2.签署有关法规、政策、请示、报告、命令等重要文件
3.处理其他日常工作。",1-02-02,1-02,1类-管理决策,"[""领导部门工作"", ""主持行政机关会议"", ""签署行政重要文件"", ""做出行政决策""]","[""行政机关所属部门"", ""行政机关会议"", ""行政法规政策"", ""行政命令文件""]","[""行政法规文件"", ""行政政策文件"", ""行政命令"", ""行政工作报告""]","""政策落实率""","[""国家行政机关办公区"", ""政府会议室""]","[""社会公众"", ""企业单位"", ""上级政府部门""]",全面经营负责
四级,1-02-03-00,人民政协机关负责人,在各级人民政协及其工作机构中，担任领导职务并具有决策、管理职权的人员。,"1.人民政协负责人主持政协及常务委员会工作
2.工作机构负责人主要负责政协机关工作。",1-02-03,1-02,1类-管理决策,"[""主持政协工作"", ""管理政协机关"", ""制定政协决策""]","[""人民政协常务委员会"", ""政协机关工作机构"", ""政协行政资源""]","[""人民政协年度工作报告"", ""政协机关工作计划"", ""政协决策文件""]","""政协工作落实率""","[""人民政协办公区"", ""政协会议中心""]","[""政协委员"", ""上级政协组织"", ""社会公众""]",全面经营负责
四级,1-02-04-00,监察机关负责人,在各级监察机关中，担任领导职务并具有决策、管理职权的人员。,,1-02-04,1-02,1类-管理决策,"[""制定监察工作计划"", ""决定立案调查"", ""审批监察决定"", ""管理监察人员""]","[""公职人员"", ""监察案件"", ""监察资源"", ""监察制度""]","[""监察决定书"", ""监察机关年度工作报告"", ""监察立案决定""]","""监察办案质量与效率""","[""监察机关办公区"", ""监察办案区"", ""被调查单位现场""]","[""上级监察机关"", ""被监察公职人员"", ""社会公众""]",全面经营负责
四级,1-02-05-01,人民法院负责人,在最高人民法院、地方各级人民法院以及专门人民法院中，担任领导职务并具有决策、管理职权的人员。,1.领导法院依法独立行使审判权，在参加案件审判时，担任审判长，主持法庭审判;2.领导本级人民法院的审判工作，依法监督下级人民法院的审判工作;3.代表人民法院向同级人民代表大会负责并报告工作;4.依法提请任免其他审判人员的法律职务;5.主持或参加审判委员会会议，讨论决定重大、疑难案件和其他有关审判工作的问题;6.主持或参加法官考评委员会会议，指导对法官的培训、评议和考核;7.主持研究人民法院贯彻执行党的路线、方针、政策的有关工作和法院队伍管理工作、法院行政与后勤工作;8.履行法律规定的其他职责。,1-02-05,1-02,1类-管理决策,"[""主持法庭审判"", ""监督下级法院审判"", ""提请任免法律职务"", ""决定重大疑难案件"", ""研究法院队伍管理""]","[""下级法院审判工作"", ""审判人员法律职务"", ""重大疑难案件"", ""法院行政后勤资源""]","[""人民法院年度工作报告"", ""审判委员会决议"", ""法院判决书""]","""无明确指标""","[""人民法院办公区"", ""法庭审判区"", ""审判委员会会议室""]","[""同级人民代表大会"", ""审判人员"", ""案件当事人""]",全面经营负责
四级,1-02-05-02,人民检察院负责人,在最高人民检察院、地方各级人民检察院以及专门人民检察院中，担任领导职务并有决策、管理职权的人员。,"1.领导人民检察院依法独立行使检察权，依法履行法律监督职责
2.检察长领导本院检察工作，管理本院行政事务
3.代表人民检察院向同级人民代表大会及其常务委员会负责并报告工作
4.提请本级人民代表大会常务委员会任免本院副检察长、检察委员会委员和检察员，提请本级人民代表大会常务委员会批准下级人民检察院检察长
5.领导检察官开展工作，依法对重大办案事项作出决定
6.主持或参加本院检察委员会会议，列席同级人民法院审判委员会会议
7.主持或参加本院检察官考评委员会会议，领导本院检察官的考核工作
8.履行法律规定的其他职责。",1-02-05,1-02,1类-管理决策,"[""行使检察权"", ""履行法律监督职责"", ""管理检察院行政事务"", ""决定重大办案事项"", ""提请检察人员任免""]","[""法律监督职责"", ""检察院行政事务"", ""重大办案事项"", ""检察官人员""]","[""人民检察院年度工作报告"", ""重大办案决定书"", ""人事任免提请文件""]","""无明确指标""","[""人民检察院办公区"", ""检察委员会会议室"", ""人民法院审判委员会会议室""]","[""同级人民代表大会及其常务委员会"", ""本院检察官"", ""社会公众""]",全面经营负责
四级,1-03-00-01,民主党派负责人,在中国国民党革命委员会、中国民主同盟、中国民主建国会、中国民主促进会、中国农工民主党、中国致公党、九三学社、台湾民主自治同盟各级组织机构中，担任领导职务并具有决策、管理职权的人员。,"1.在中国共产党的领导下，根据中国共产党的路线、方针和重大政策，组织制定各自政党的工作指导方针、目标和任务
2.贯彻执行“长期共存，互相监督，肝胆相照，荣辱与共”的方针，组织和领导其成员履行参政议政和民主监督职能
3.围绕国家的中心任务，组织和领导其成员开展为建设有中国特色社会主义服务和促进祖国和平统一的各项活动
4.依照法律和各自政党的章程，独立自主地开展工作，反映其成员和所联系群众的合法利益和合理要求，维护其合法权益
5.加强各自政党的领导班子建设、思想建设和组织建设，开展思想政治工作，根据民主集中制原则，定期召开委员会会议，集体讨论决定重大事项。",1-03-00,1-03,1类-管理决策,"[""制定政党工作方针"", ""领导参政议政职能"", ""组织民主监督活动"", ""建设政党领导班子"", ""决定政党重大事项""]","[""政党工作目标"", ""参政议政职能"", ""政党组织建设"", ""成员合法权益""]","[""政党工作指导方针"", ""民主监督报告"", ""委员会会议决议""]","""参政议政成效""","[""民主党派组织机构办公区"", ""委员会会议室""]","[""政党成员"", ""联系群众"", ""国家机关""]",全面经营负责
四级,1-03-00-02,工商联负责人,在中华全国工商业联合会各级组织机构中，担任领导职务并具有决策、管理职权的人员。,"1.参与国家大政方针及政治、经济、社会生活中的重要问题的政治协商
2.引导会员积极参加国家经济建设
3.负责管理联合会所办企业和事业
4.承办政府和有关部门的委托事项。",1-03-00,1-03,1类-管理决策,"[""参与国家大政方针政治协商"", ""引导会员参加经济建设"", ""管理联合会办企业和事业"", ""承办政府委托事项""]","[""国家大政方针"", ""工商联会员"", ""联合会办企业"", ""政府委托事项""]","[""工商联年度工作报告"", ""政治协商建议书"", ""委托事项办理报告""]","""政治协商与会员引导成效""","[""工商联办公区"", ""政府会议场所"", ""会员企业现场""]","[""工商联会员"", ""政府部门""]",全面经营负责
四级,1-04-01-01,工会负责人,在中华全国总工会各级组织及其工作机构中，担任领导职务的专职人员。,"1.根据中国共产党的路线、方针、政策，组织拟定工会工作的指导方针、任务和目标
2.依照法律和章程独立自主地开展工作，在突出履行“维护”职能的同时，履行“建设、参与、教育”等社会职能
3.在管理国家和社会事务中发挥民主参与和民主监督作用，组织职工对企事业单位实行民主管理
4.参与涉及职工利益的有关法律、法规、政策、措施和制度的制定，维护职工合法权益
5.组织调查研究有关职工利益的重大问题，提出意见和建议，向党和政府有关部门及上级工会报告
6.负责对工会经费的管理和审查审计等工作。",1-04-01,1-04,1类-管理决策,"[""拟定工会指导方针"", ""组织职工民主管理"", ""参与职工利益制度制定"", ""开展职工利益调研"", ""管理工会经费审计""]","[""工会指导方针"", ""职工合法权益"", ""企事业单位管理制度"", ""工会经费""]","[""工会年度工作计划"", ""职工利益调研报告"", ""工会经费审计报告""]","""职工权益保障率""","[""总工会各级办公区"", ""企事业单位基层现场""]","[""广大职工"", ""企事业单位"", ""上级工会组织""]",全面经营负责
四级,1-04-01-02,共青团负责人,在中国共产主义青年团各级组织及其工作机构中，担任领导职务的专职人员。,"1.根据中国共产党的路线、方针、政策，组织拟定共青团工作的指导方针、任务和目标
2.宣传、贯彻执行中国共产党的路线、方针、政策，发挥共青团作为党联系青年的桥梁和纽带作用，团结带领广大青年投身建设有中国特色社会主义实践，参与国家和社会事务的民主管理和监督工作
3.加强共青团思想、组织和作风建设，根据民主集中制原则，定期召开共青团的委员会会议，集体讨论重大问题，领导青联、学联和少先队工作
4.调查青年思想、工作、发展状况，代表和维护青少年的合法权益。",1-04-01,1-04,1类-管理决策,"[""拟定共青团工作方针"", ""宣传贯彻党政策"", ""领导共青团附属组织"", ""维护青少年合法权益""]","[""共青团工作目标"", ""共青团组织作风"", ""青联学联少先队"", ""青少年合法权益""]","[""共青团工作指导方针"", ""共青团委员会会议纪要"", ""青年状况调查报告""]","""共青团工作目标达成率""","[""共青团各级组织办公区"", ""共青团工作机构""]","[""广大青年"", ""青少年""]",全面经营负责
